EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 185 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 173 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 162 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 152 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 142 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 131 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 121 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 115 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 113 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 110 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 108 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 104 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 98 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 96 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 94 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 92 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 90 
EventType: Rotation EventDate: 9/28/2020 5:06:07 PM AdditionalInfo: 85 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 81 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 77 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 67 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 61 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 54 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 50 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 46 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 38 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 33 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 27 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 23 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 21 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 17 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 15 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 13 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 8 
EventType: Rotation EventDate: 9/28/2020 5:06:08 PM AdditionalInfo: 0 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 2 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 8 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 11 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 19 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 33 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 54 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 61 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 69 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 71 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 75 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 77 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 79 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 81 
EventType: Rotation EventDate: 9/28/2020 5:06:09 PM AdditionalInfo: 85 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 81 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 79 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 77 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 73 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 81 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 85 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 92 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 102 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 98 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 92 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 81 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 71 
EventType: Rotation EventDate: 9/28/2020 5:06:10 PM AdditionalInfo: 69 
EventType: Rotation EventDate: 9/28/2020 5:06:11 PM AdditionalInfo: 65 
